label,cluster_no
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
maize,0
maize,2
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,2
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,4
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
pigeonpeas,6
pigeonpeas,6
pigeonpeas,5
pigeonpeas,5
pigeonpeas,5
pigeonpeas,5
pigeonpeas,5
pigeonpeas,6
pigeonpeas,5
pigeonpeas,5
pigeonpeas,6
pigeonpeas,6
